gen_uid,cust_key,first_name_cl,family_name_cl,mobile_no_cl,mobile_no_dsp,source_name,birth_date_cl,birth_date_dsp,email_cl,email_dsp,update_date
t1058,1131018439,amanda,okazaki,809189205,809189205,CRM,4/5/48 00:00,4/5/48 00:00,phoom.su@gmail.com,phoom.su@gmail.com,12/11/22 00:00
t1059,1061038602,amanda,okazaki,809189208,809189208,CRM,,,tkyleasing.op@gmail.com,tkyleasing.op@gmail.com,15/11/22 00:00
t106,1051019000,amanda,okazaki,809189211,809189211,CRM,,,,,17/11/22 00:00
t1060,1061028118,amanda,okazaki,809189214,809189214,CRM,12/5/83 00:00,12/5/83 00:00,tiakob69@yahoo.com,tiakob69@yahoo.com,21/11/22 00:00
t1061,1021048030,amanda,okazaki,809189217,809189217,,,,piriya67@hotmail.com,piriya67@hotmail.com,24/11/22 00:00
t1062,1131056703,amanda,okazaki,809189220,809189220,,,,endrastings@gmail.com,endrastings@gmail.com,27/11/22 00:00
t1063,1051029628,amanda,okazaki,809189223,809189223,,,,,,28/11/22 00:00
t1064,1061023159,amanda,okazaki,809189226,809189226,,,,,,3/12/22 00:00
t1065,2210006946,amanda,okazaki,809189229,809189229,,,,kunnaykunnice@hotmail.com,kunnaykunnice@hotmail.com,6/12/22 00:00
t1066,CRM100000752,amanda,okazaki,809189232,809189232,CRM,28/10/55 00:00,28/10/55 00:00,chaluay_pumnil@hotmail.com,chaluay_pumnil@hotmail.com,9/12/22 00:00
t1067,1081025623,amanda,okazaki,809189235,809189235,CRM,22/12/16 00:00,22/12/16 00:00,titikan08@gmail.com,titikan08@gmail.com,12/12/22 00:00
t1068,1061027980,amanda,okazaki,809189238,809189238,CRM,19/3/38 00:00,19/3/38 00:00,ty13th@hotmail.com,ty13th@hotmail.com,15/12/22 00:00
t1069,1061022304,amanda,okazaki,809189241,809189241,CRM,,,BS2200005.15@cyc.com,BS2200005.15@cyc.com,18/12/22 00:00
t107,1131018656,amanda,okazaki,809189244,809189244,CRM,24/11/80 00:00,24/11/80 00:00,boonprasert99@gmail.com,boonprasert99@gmail.com,21/12/22 00:00
t1070,1131042938,amanda,okazaki,809189247,809189247,CRM,,,gameball.008@hotmail.com,gameball.008@hotmail.com,24/12/22 00:00
t1071,1361010446,amanda,okazaki,809189250,809189250,CRM,1/5/51 00:00,1/5/51 00:00,BS2100180.15@cyc.com,BS2100180.15@cyc.com,27/12/22 00:00
t1072,1061023179,amanda,okazaki,809189253,809189253,CRM,,,soiwo@hotmail.com,soiwo@hotmail.com,30/12/22 00:00
t1073,1061033540,amanda,okazaki,809189256,809189256,CRM,,,chunhasert@gmail.com,chunhasert@gmail.com,2/1/23 00:00
t1074,1071016979,amanda,okazaki,809189259,809189259,CRM,,,,,4/1/23 00:00
t1075,1061026072,amanda,okazaki,809189262,809189262,CRM,,,,,6/1/23 00:00
t1076,1051003439,amanda,okazaki,809189265,809189265,CRM,,,,,10/1/23 00:00
t1077,1051029890,amanda,okazaki,809189268,809189268,CRM,26/4/53 00:00,26/4/53 00:00,siasamorn_r@hotmail.co.uk,siasamorn_r@hotmail.co.uk,14/1/23 00:00
t1078,1181025752,amanda,okazaki,809189271,809189271,CRM,,,KTT2504@hotmail.com,KTT2504@hotmail.com,17/1/23 00:00
t1079,1031003436,amanda,okazaki,809189274,809189274,CRM,,,narongrith@vudhichai.co.th,narongrith@vudhichai.co.th,20/1/23 00:00
t108,1081026855,amanda,okazaki,809189277,809189277,CRM,1/10/76 00:00,1/10/76 00:00,pod9988@gmail.com,pod9988@gmail.com,23/1/23 00:00
t1080,1051009081,amanda,okazaki,809189280,809189280,CRM,,,KITCHEN-ROOM@hotmail.com,KITCHEN-ROOM@hotmail.com,26/1/23 00:00
t1081,1251006811,amanda,okazaki,809189283,809189283,CRM,12/3/74 00:00,12/3/74 00:00,,,27/1/23 00:00
t1082,1051031395,amanda,okazaki,809189286,809189286,CRM,1879-06-11 00:00:00,1879-06-11 00:00:00,jung_19@hotmail.com,jung_19@hotmail.com,1/2/23 00:00
t1083,1061019026,amanda,okazaki,809189289,809189289,CRM,2/1/13 00:00,2/1/13 00:00,,,3/2/23 00:00
t1084,1071017556,amanda,okazaki,809189292,809189292,CRM,,,Bin.389@hotmail.com,Bin.389@hotmail.com,7/2/23 00:00
t1085,1051022384,amanda,okazaki,809189295,809189295,CRM,27/8/19 00:00,27/8/19 00:00,kaied2008@hotmail.com,kaied2008@hotmail.com,10/2/23 00:00
t1086,1081003330,amanda,okazaki,809189298,809189298,CRM,,,,,11/2/23 00:00
t1087,1091009193,amanda,okazaki,809189301,809189301,CRM,,,,,16/2/23 00:00
t1088,2101014341,amanda,okazaki,809189304,809189304,CRM,7/6/67 00:00,7/6/67 00:00,phumak@anca.com,phumak@anca.com,19/2/23 00:00
t1089,1071005477,amanda,okazaki,809189307,809189307,CRM,7/4/03 00:00,7/4/03 00:00,d_dongy@hotmail.com,d_dongy@hotmail.com,22/2/23 00:00
t109,1081028772,amanda,okazaki,809189310,809189310,CRM,3/6/26 00:00,3/6/26 00:00,TA VIP 11973@gmail.com,TA VIP 11973@gmail.com,25/2/23 00:00
t1090,1051001335,amanda,okazaki,809189313,809189313,CRM,,,jarmorn_2108@hotmail.com,jarmorn_2108@hotmail.com,28/2/23 00:00
t1091,1091012040,amanda,okazaki,809189316,809189316,CRM,,,wuttnongsue1234@gmail.com,wuttnongsue1234@gmail.com,3/3/23 00:00
t1092,1051008398,amanda,okazaki,809189319,809189319,CRM,18/9/49 00:00,18/9/49 00:00,thana_pho@hotmail.com,thana_pho@hotmail.com,6/3/23 00:00
t1093,1091004258,amanda,okazaki,809189322,809189322,CRM,,,chanachs@bic.co.th,chanachs@bic.co.th,9/3/23 00:00
t1094,1071012311,amanda,okazaki,809189325,809189325,CRM,18/5/64 00:00,18/5/64 00:00,,,10/3/23 00:00
t1095,1061027882,amanda,okazaki,809189328,809189328,CRM,,,dafne_nympt@hotmail.com,dafne_nympt@hotmail.com,15/3/23 00:00
t1096,1061022784,amanda,okazaki,809189331,809189331,CRM,,,noนย.@toyota.co.th,noนย.@toyota.co.th,18/3/23 00:00
t1097,1061041910,amanda,okazaki,809189334,809189334,CRM,,,,,20/3/23 00:00
t1098,1081000131,amanda,okazaki,809189337,809189337,CRM,3/7/95 00:00,3/7/95 00:00,rainnie_ii@hotmail.com,rainnie_ii@hotmail.com,24/3/23 00:00
t1099,1021103135,amanda,okazaki,809189340,809189340,CRM,,,kittipab@scg.co.th,kittipab@scg.co.th,27/3/23 00:00
t11,1071003511,amanda,okazaki,809189344,809189344,CRM,31/8/78 00:00,31/8/78 00:00,spk_dent@yahoo.com,spk_dent@yahoo.com,31/3/23 00:00
t110,1131035542,amanda,okazaki,809189347,809189347,CRM,,,noija88@hotmail.com,noija88@hotmail.com,3/4/23 00:00
t1100,1081001421,amanda,okazaki,809189350,809189350,CRM,,,as_sung@hotmail.com,as_sung@hotmail.com,6/4/23 00:00
t1101,1081003151,amanda,okazaki,809189353,809189353,CRM,,,PRA_WIT3321@hotmail.com,PRA_WIT3321@hotmail.com,9/4/23 00:00
t1102,1081006722,amanda,okazaki,809189356,809189356,CRM,,,,,12/4/23 00:00
t1103,1081000720,amanda,okazaki,809189359,809189359,CRM,4/12/77 00:00,4/12/77 00:00,,,15/4/23 00:00
t1104,1061040685,amanda,okazaki,809189362,809189362,CRM,12/4/21 00:00,12/4/21 00:00,wutiphat.s@egat.co.th,wutiphat.s@egat.co.th,18/4/23 00:00
t1105,CRM100000753,amanda,okazaki,809189365,809189365,CRM,3/2/73 00:00,3/2/73 00:00,chainakorn_nun@hotmail.com,chainakorn_nun@hotmail.com,21/4/23 00:00
t1106,1131048511,amanda,okazaki,809189368,809189368,CRM,20/7/59 00:00,20/7/59 00:00,Rattiya_t@hotmail.com,Rattiya_t@hotmail.com,24/4/23 00:00
t1107,1091013693,amanda,okazaki,809189371,809189371,CRM,,,,,25/4/23 00:00
t1108,1021049546,amanda,okazaki,809189374,809189374,CRM,,,Gs.aeknimit@gmail.com,Gs.aeknimit@gmail.com,30/4/23 00:00
t1109,1071021623,amanda,okazaki,809189377,809189377,CRM,,,chattharin@yahoo.com,chattharin@yahoo.com,3/5/23 00:00
t111,1051000250,amanda,okazaki,809189380,809189380,CRM,,,jumhongyok99@hotmail.com,jumhongyok99@hotmail.com,6/5/23 00:00
t1110,1031002219,amanda,okazaki,809189383,809189383,CRM,,,,,9/5/23 00:00
t1111,1041011319,amanda,okazaki,809189386,809189386,CRM,,,kittithat_pts@hotmail.com,kittithat_pts@hotmail.com,12/5/23 00:00
t1112,1061017601,amanda,okazaki,809189389,809189389,CRM,8/1/63 00:00,8/1/63 00:00,adinun2519@gmail.com,adinun2519@gmail.com,15/5/23 00:00
t1113,1058000099,amanda,okazaki,809189392,809189392,CRM,30/10/43 00:00,30/10/43 00:00,,,18/5/23 00:00
t1114,1071019117,amanda,okazaki,809189395,809189395,CRM,,,,,20/5/23 00:00
t1115,8424000053,amanda,okazaki,809189398,809189398,CRM,11/10/03 00:00,11/10/03 00:00,NEW_YUI@HOTMAIL.COM,NEW_YUI@HOTMAIL.COM,24/5/23 00:00
t1116,1061024879,amanda,okazaki,809189401,809189401,CRM,13/10/27 00:00,13/10/27 00:00,SPATAN4@GMAIL.COM,SPATAN4@GMAIL.COM,27/5/23 00:00
t1117,1321009086,amanda,okazaki,809189404,809189404,CRM,,,ap@cyd23.net,ap@cyd23.net,30/5/23 00:00
t1118,1071015107,amanda,okazaki,809189407,809189407,CRM,9/11/25 00:00,9/11/25 00:00,sales-thai@leitztools.com,sales-thai@leitztools.com,2/6/23 00:00
t1119,2210004915,amanda,okazaki,809189410,809189410,CRM,,,chi_malee@hotmail.com,chi_malee@hotmail.com,5/6/23 00:00
t112,1021086881,amanda,okazaki,809189413,809189413,CRM,,,,,7/6/23 00:00
t1120,1371005502,amanda,okazaki,809189416,809189416,CRM,10/10/48 00:00,10/10/48 00:00,kran_1976@homail.co.th,kran_1976@homail.co.th,11/6/23 00:00
t1121,CRM100000231,amanda,okazaki,809189417,809189417,CRM,,,yanasiree.koy@gmail.com,yanasiree.koy@gmail.com,12/6/23 00:00
t1122,1131006238,amanda,okazaki,809189422,809189422,,,,ratsarin43@hotmail.com,ratsarin43@hotmail.com,17/6/23 00:00
t1123,1251023833,amanda,okazaki,809189425,809189425,,,,noway_nana@hotmail.com,noway_nana@hotmail.com,20/6/23 00:00
t1124,1071013730,amanda,okazaki,809189428,809189428,,,,alisa.chaypuk@hotmail.com,alisa.chaypuk@hotmail.com,23/6/23 00:00
t1125,1011076341,amanda,okazaki,809189431,809189431,CRM,,,j.c.vittayavarakorn@gmail.com,j.c.vittayavarakorn@gmail.com,26/6/23 00:00
t1126,1011017895,amanda,okazaki,809189434,809189434,CRM,2/10/21 00:00,2/10/21 00:00,ki-thailand@hotmail.com,ki-thailand@hotmail.com,29/6/23 00:00
t1127,1061035715,amanda,okazaki,809189437,809189437,CRM,,,1712176@gmail.com,1712176@gmail.com,2/7/23 00:00
t1128,1051007105,amanda,okazaki,809189440,809189440,CRM,,,e_pougpet@hotmail.com,e_pougpet@hotmail.com,5/7/23 00:00
t1129,1061003264,amanda,okazaki,809189443,809189443,CRM,,,paro@cischemgroup.com,paro@cischemgroup.com,8/7/23 00:00
t113,1071003654,amanda,okazaki,809189446,809189446,CRM,7/6/77 00:00,7/6/77 00:00,,,11/7/23 00:00
t1130,1061041899,amanda,okazaki,809189449,809189449,CRM,,,,,12/7/23 00:00
t1131,1061000021,amanda,okazaki,809189452,809189452,CRM,,,pornchai9919@gmail.com,pornchai9919@gmail.com,17/7/23 00:00
t1132,1061022811,amanda,okazaki,809189455,809189455,CRM,,,kanchana_suwanprasert@hotmail.com,kanchana_suwanprasert@hotmail.com,20/7/23 00:00
t1133,1251017178,amanda,okazaki,809189458,809189458,CRM,,,,,22/7/23 00:00
t1134,1131027815,amanda,okazaki,809189461,809189461,CRM,14/12/04 00:00,14/12/04 00:00,jandtorseng@hotmail.com,jandtorseng@hotmail.com,26/7/23 00:00
t1135,CRM100000754,amanda,okazaki,809189464,809189464,CRM,29/10/52 00:00,29/10/52 00:00,nook889989@gmail.com,nook889989@gmail.com,29/7/23 00:00
t1136,1051015101,amanda,okazaki,809189467,809189467,CRM,15/8/91 00:00,15/8/91 00:00,asanai.boonprasan@wdc.com,asanai.boonprasan@wdc.com,1/8/23 00:00
t1137,1061002470,amanda,okazaki,809189470,809189470,CRM,20/8/99 00:00,20/8/99 00:00,kodomo@th.cdc.gov,kodomo@th.cdc.gov,4/8/23 00:00
t1138,1251022832,amanda,okazaki,809189473,809189473,CRM,,,thriving-2009@hotmail.com,thriving-2009@hotmail.com,7/8/23 00:00
t1139,1051021941,amanda,okazaki,809189476,809189476,CRM,28/3/93 00:00,28/3/93 00:00,,,8/8/23 00:00
t114,1071007250,amanda,okazaki,809189479,809189479,CRM,24/1/10 00:00,24/1/10 00:00,BS2100144.15@cyc.com,BS2100144.15@cyc.com,13/8/23 00:00
t1140,1151013222,amanda,okazaki,809189482,809189482,CRM,2/1/45 00:00,2/1/45 00:00,p.majchachart@gmail.com,p.majchachart@gmail.com,16/8/23 00:00
t1141,1131030809,amanda,okazaki,809189485,809189485,CRM,,,suchan.c@cattelecom.ocm,suchan.c@cattelecom.ocm,19/8/23 00:00
t1142,1071003092,amanda,okazaki,809189488,809189488,CRM,12/6/88 00:00,12/6/88 00:00,winobs1@hotmail.com,winobs1@hotmail.com,22/8/23 00:00
t1143,1311008622,amanda,okazaki,809189491,809189491,CRM,29/6/66 00:00,29/6/66 00:00,,,23/8/23 00:00
t1144,1051008404,amanda,okazaki,809189494,809189494,CRM,,,,,26/8/23 00:00
t1145,1051012116,amanda,okazaki,809189497,809189497,CRM,,,,,30/8/23 00:00
t1146,3031000395,amanda,okazaki,809189500,809189500,CRM,,,,,2/9/23 00:00
t1147,1251006274,amanda,okazaki,809189503,809189503,CRM,24/4/75 00:00,24/4/75 00:00,aanna_1974@hotmail.com,aanna_1974@hotmail.com,6/9/23 00:00
t1148,1071022864,amanda,okazaki,809189506,809189506,CRM,12/9/16 00:00,12/9/16 00:00,,,9/9/23 00:00
t1149,1251023924,amanda,okazaki,809189509,809189509,CRM,,,,,10/9/23 00:00
t115,1081006003,amanda,okazaki,809189512,809189512,CRM,,,wiriya_toon@hotmail.com,wiriya_toon@hotmail.com,15/9/23 00:00
t1150,1151011822,amanda,okazaki,809189515,809189515,CRM,28/12/19 00:00,28/12/19 00:00,teerapolboonrod@gmail.com,teerapolboonrod@gmail.com,18/9/23 00:00
t1151,2131000991,amanda,okazaki,809189518,809189518,CRM,,,tu.1418@hotmail.com,tu.1418@hotmail.com,21/9/23 00:00
t1152,1061012070,amanda,okazaki,809189521,809189521,CRM,12/4/57 00:00,12/4/57 00:00,,,23/9/23 00:00
t1153,1061008726,amanda,okazaki,809189524,809189524,CRM,,,,,25/9/23 00:00
t1154,1051028473,amanda,okazaki,809189527,809189527,CRM,,,,,28/9/23 00:00
t1155,1081013504,amanda,okazaki,809189530,809189530,CRM,,,pris.sukkanta@carrier.utc.com,pris.sukkanta@carrier.utc.com,3/10/23 00:00
t1156,1061012397,amanda,okazaki,809189533,809189533,CRM,2/1/57 00:00,2/1/57 00:00,PIYARAT.RATTANASUPA@ABERDEENSTANDARD.COM,PIYARAT.RATTANASUPA@ABERDEENSTANDARD.COM,6/10/23 00:00
t1157,1071007987,amanda,okazaki,809189536,809189536,CRM,,,nladda2009@hotmail.com,nladda2009@hotmail.com,9/10/23 00:00
t1158,1061008398,amanda,okazaki,809189539,809189539,CRM,,,ton_tawan23@hotmail.com,ton_tawan23@hotmail.com,12/10/23 00:00
t1159,1081011395,amanda,okazaki,809189542,809189542,CRM,14/11/89 00:00,14/11/89 00:00,rosatrad@cdc.ji-net.com,rosatrad@cdc.ji-net.com,15/10/23 00:00
t116,1151021354,amanda,okazaki,809189545,809189545,CRM,,,,,16/10/23 00:00
t1160,1061008494,amanda,okazaki,809189548,809189548,CRM,12/10/54 00:00,12/10/54 00:00,hakkun_sudta@hotmail.com,hakkun_sudta@hotmail.com,21/10/23 00:00
t1161,1111000873,amanda,okazaki,809189551,809189551,CRM,,,,,23/10/23 00:00
t1162,2210004011,amanda,okazaki,809189554,809189554,CRM,,,love_bird_888@hotmail.com,love_bird_888@hotmail.com,27/10/23 00:00
t1163,1091009393,amanda,okazaki,809189557,809189557,CRM,,,somyos55@hotmail.com,somyos55@hotmail.com,30/10/23 00:00
t1164,1091014905,amanda,okazaki,809189560,809189560,CRM,31/3/19 00:00,31/3/19 00:00,PINTUSORNRAK@gmail.com,PINTUSORNRAK@gmail.com,2/11/23 00:00
t1165,1071001211,amanda,okazaki,809189563,809189563,CRM,,,nirun_9583@hotmail.com,nirun_9583@hotmail.com,5/11/23 00:00
t1166,1051023819,amanda,okazaki,809189566,809189566,CRM,16/1/63 00:00,16/1/63 00:00,Thanatporn2533@gmail.com,Thanatporn2533@gmail.com,8/11/23 00:00
t1167,1321019225,amanda,okazaki,809189569,809189569,CRM,,,jimharvey1948@hotmail.com,jimharvey1948@hotmail.com,11/11/23 00:00
t1168,2210002563,amanda,okazaki,809189572,809189572,CRM,,,veraphan@aac.co.th,veraphan@aac.co.th,14/11/23 00:00
t1169,1251021033,amanda,okazaki,809189575,809189575,CRM,1893-02-22 00:00:00,1893-02-22 00:00:00,noom_tertsah@hotmail.com,noom_tertsah@hotmail.com,17/11/23 00:00
t117,1171015160,amanda,okazaki,809189578,809189578,CRM,,,walai_kam@hotmail.com,walai_kam@hotmail.com,20/11/23 00:00
t1170,1051000761,amanda,okazaki,809189581,809189581,CRM,,,ubtech371@gmail.com,ubtech371@gmail.com,23/11/23 00:00
t1171,1251025104,amanda,okazaki,809189584,809189584,CRM,8/2/03 00:00,8/2/03 00:00,Puthongngern@gpo.or.th,Puthongngern@gpo.or.th,26/11/23 00:00
t1172,1251024695,amanda,okazaki,809189587,809189587,CRM,,,kiao_re@yahoo.com,kiao_re@yahoo.com,29/11/23 00:00
t1173,1061039568,amanda,okazaki,809189590,809189590,CRM,,,Sail5020.Choheng@gmail.com.com,Sail5020.Choheng@gmail.com.com,2/12/23 00:00
t1174,1051007521,amanda,okazaki,809189593,809189593,CRM,,,,,5/12/23 00:00
t1175,1251023626,amanda,okazaki,809189596,809189596,CRM,,,,,7/12/23 00:00
t1176,1251004931,amanda,okazaki,809189599,809189599,CRM,,,ANNNYJAR@gmail.com,ANNNYJAR@gmail.com,11/12/23 00:00
t1177,CRM100000755,amanda,okazaki,809189602,809189602,CRM,,,,,13/12/23 00:00
t1178,1061041021,amanda,okazaki,809189605,809189605,CRM,,,,,15/12/23 00:00
